iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-14.89,-16.73,-17.04
2,-14.89,-16.29,-16.29
3,-14.89,-19.0,-17.14
4,-14.89,-17.5,-17.0
5,-14.89,-21.0,-21.0
6,-14.89,-14.89,-15.43
7,-14.89,-17.14,-16.31
8,-14.89,-14.89,-16.01
9,-14.89,-18.33,-17.5
10,-14.89,-18.0,-14.23
11,-17.73,-15.48,-14.23
12,-15.06,-16.14,-14.23
13,-14.48,-16.73,-14.23
14,-15.06,-14.45,-14.23
15,-14.23,-14.23,-14.23
16,-14.23,-14.23,-14.23
17,-14.23,-14.23,-14.23
18,-14.23,-14.23,-14.23
19,-14.23,-14.23,-14.23
20,-14.23,-14.23,-14.23
21,-14.23,-14.23,-14.23
22,-14.23,-14.23,-14.23
23,-14.23,-14.23,-14.23
24,-14.23,-14.23,-14.23
25,-14.23,-14.23,-14.23
26,-14.23,-14.23,-14.23
27,-14.23,-14.23,-14.23
28,-14.23,-14.23,-14.23
29,-14.23,-14.23,-14.23
30,-14.23,-14.23,-14.23
31,-14.23,-14.23,-14.23
32,-14.23,-14.23,-14.23
33,-14.23,-14.23,-14.23
34,-14.23,-14.23,-14.23
35,-14.23,-14.23,-14.23
36,-14.23,-14.23,-14.23
37,-14.23,-14.23,-14.23
38,-14.23,-14.23,-14.23
39,-14.23,-14.23,-14.23
40,-14.23,-14.23,-14.23
41,-14.23,-14.23,-14.23
42,-14.23,-14.23,-14.23
43,-14.23,-14.23,-14.23
44,-14.23,-14.23,-14.23
45,-14.23,-14.23,-14.23
46,-14.23,-14.23,-14.23
47,-14.23,-14.23,-14.23
48,-14.23,-14.23,-14.23
49,-14.23,-14.23,-14.23
50,-14.23,-14.23,-14.23
51,-14.23,-14.23,-14.23
52,-14.23,-14.23,-14.23
53,-14.23,-14.23,-14.23
54,-14.23,-14.23,-14.23
55,-14.23,-14.23,-14.23
56,-14.23,-14.23,-14.23
57,-14.23,-14.23,-14.23
58,-14.23,-14.23,-14.23
59,-14.23,-14.23,-14.23
60,-14.23,-14.23,-14.23
61,-14.23,-14.23,-14.23
62,-14.23,-14.23,-14.23
63,-14.23,-14.23,-14.23
64,-14.23,-14.23,-14.23
65,-14.23,-14.23,-14.23
66,-14.23,-14.23,-14.23
67,-14.23,-14.23,-14.23
68,-14.23,-14.23,-14.23
69,-14.23,-14.23,-14.23
70,-14.23,-14.23,-14.23
71,-14.23,-14.23,-14.23
72,-14.23,-14.23,-14.23
73,-14.23,-14.23,-14.23
74,-14.23,-14.23,-14.23
75,-14.23,-14.23,-14.23
76,-14.23,-14.23,-14.23
77,-14.23,-14.23,-14.23
78,-14.23,-14.23,-14.23
79,-14.23,-14.23,-14.23
80,-14.23,-14.23,-14.23
81,-14.23,-14.23,-14.23
82,-14.23,-14.23,-14.23
83,-14.23,-14.23,-14.23
84,-14.23,-14.23,-14.23
85,-14.23,-14.23,-14.23
86,-14.23,-14.23,-14.23
87,-14.23,-14.23,-14.23
88,-14.23,-14.23,-14.23
89,-14.23,-14.23,-14.23
90,-14.23,-14.23,-14.23
91,-14.23,-14.23,-14.23
92,-14.23,-14.23,-14.23
93,-14.23,-14.23,-14.23
94,-14.23,-14.23,-14.23
95,-14.23,-14.23,-14.23
96,-14.23,-14.23,-14.23
97,-14.23,-14.23,-14.23
98,-14.23,-14.23,-14.23
99,-14.23,-14.23,-14.23
100,-14.23,-14.23,-14.23
